id,name,description,category,image_url,location
<<<<<<< HEAD
coffee-corner,Coffee Corner,"Cozy local cafe known for pour-over coffee and fresh pastries",Cafe,https://picsum.photos/seed/coffee-corner/800/600,Main Street
green-grocer,Green Grocer,"Neighborhood produce market with seasonal fruits and vegetables",Grocery,https://picsum.photos/seed/green-grocer/800/600,River District
book-nook,The Book Nook,"Independent bookstore with curated fiction and kids titles",Bookstore,https://picsum.photos/seed/book-nook/800/600,Oak Avenue
fit-studio,Fit Studio,"Small-group fitness classes for beginners and busy professionals",Fitness,https://picsum.photos/seed/fit-studio/800/600,North Plaza
tech-stop,Tech Stop,"Device accessories repair and setup help for phones and laptops",Electronics,https://picsum.photos/seed/tech-stop/800/600,Central Mall
artisan-bites,Artisan Bites,"Handmade sandwiches salads and daily soup specials",Restaurant,https://picsum.photos/seed/artisan-bites/800/600,Market Lane
pet-haven,Pet Haven,"Friendly pet supply shop with food toys and grooming essentials",Pet Store,https://picsum.photos/seed/pet-haven/800/600,Sunset Boulevard
craft-hub,Craft Hub,"Creative supply store for painting journaling and classroom projects",Crafts,https://picsum.photos/seed/craft-hub/800/600,West End
city-cycles,City Cycles,"Urban bike rentals tune-ups and safety gear for all ages",Sports,https://picsum.photos/seed/city-cycles/800/600,Hillside
home-glow,Home Glow,"Simple decor and lighting picks for dorms apartments and homes",Home,https://picsum.photos/seed/home-glow/800/600,Lakeside
=======
octane-odyssey,Octane Odyssey,"High-speed sci-fi racer with neon tracks and endless boost",Action,https://picsum.photos/seed/octane-odyssey/800/600,PC / Steam
pixel-saga,Pixel Saga,"Retro platform adventure with pixel art worlds and collectible gear",Adventure,https://picsum.photos/seed/pixel-saga/800/600,Switch
mythic-mage,Mythic Mage,"Spellcasting RPG with fast duels and hero customization",RPG,https://picsum.photos/seed/mythic-mage/800/600,PC / Epic Games
skyline-strike,Skyline Strike,"Team-based urban shooter with quick matches and colorful arenas",Shooter,https://picsum.photos/seed/skyline-strike/800/600,PS5
forest-fall,Forest Fall,"Relaxing puzzle game where players match runes in a magical forest",Puzzle,https://picsum.photos/seed/forest-fall/800/600,Mobile
neon-noir,Neon Noir,"Narrative mystery game with detectives, choices, and retro city style",Story,https://picsum.photos/seed/neon-noir/800/600,PC / GOG
bandit-brawl,Bandit Brawl,"Arcade brawler with quirky characters and combo attacks",Fighting,https://picsum.photos/seed/bandit-brawl/800/600,Xbox
star-garden,Star Garden,"Space exploration game with glowing planets and calming music",Simulation,https://picsum.photos/seed/star-garden/800/600,PC / Steam
rune-runners,Rune Runners,"Fast-paced dungeon runner with traps, treasures, and score racing",Platformer,https://picsum.photos/seed/rune-runners/800/600,Switch
cyber-chef,Cyber Chef,"Cooking action game set in a futuristic kitchen with time puzzles",Family,https://picsum.photos/seed/cyber-chef/800/600,Mobile
>>>>>>> c8480d75b84487c1ecbadb8681cbcfa5ceecc893
